open_uuid,open_test_uuid,time_utc,cat_technology,network_type,lat,long,loc_src,loc_accuracy,region,municipality,settlement,whitespot,zip_code,download_kbit,upload_kbit,ping_ms,lte_rsrp,server_name,test_duration,num_threads,platform,model,client_version,network_mcc_mnc,network_name,sim_mcc_mnc,nat_type,asn,ip_anonym,ndt_download_kbit,ndt_upload_kbit,implausible,signal_strength,speed_test_duration_ms,cell_id,lac,tags,test_type,additional_report_fields,tcp_open,tcp_total,udp_open,udp_total,packet_loss_down,packet_loss_up,peak_down_kbit,peak_up_kbit
Pe6dd2120-6a9f-410d-87ad-52db73eae478,O7cc5e7ef-9120-47d9-91c7-9c971952f00d,2020-09-01 01:15:06,LAN,LAN,,,,,,,,,,398166,21193,26.4,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,3209,91.66.129,,,false,,28432.516,,,{},FULL_TEST,,,,,,,,,
P810c8842-243d-4085-b092-cfb95d6449b8,O1aab7dc1-f89a-4e31-a022-80eea6b46c5a,2020-09-01 01:15:13,LAN,LAN,,,,,,,,,,55113,21985,3.588,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,49985,188.120.203,,,false,,22823.064,,,{},FULL_TEST,,,,,,,,,
P716f3f5a-fe3a-4add-847c-f386caac75e6,Of440eaf8-9d8f-4955-b5f4-6bc24c293c96,2020-09-01 01:15:14,LAN,LAN,,,,,,,,,,36174,4630,12.2,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,41779,185.211.110,,,false,,22430.911,,,{},FULL_TEST,,,,,,,,,
Pd1205bb3-f423-4401-9221-64923c00d824,Ofefddd5a-c701-4636-a809-1485ce029302,2020-09-01 01:15:18,LAN,LAN,,,,,,,,,,50191,4679,9.561,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,5610,2a00:1028:96c3::,,,false,,22401.693000000003,,,{},FULL_TEST,,,,,,,,,
P8c565ec9-ad88-4ec3-a999-2a5453140b2a,O95f630d4-745e-496d-8520-7b3cd65dad98,2020-09-01 01:15:23,LAN,LAN,,,,,,,,,,94132,9486,40.0,,CZ.NIC,5,3,,CZ.NIC Turris Mox Board,0.3,,,,,6848,94.226.78,,,false,,29038.824,,,{},FULL_TEST,,,,,,,,,
P6145b47a-64c5-4e4e-92b7-3f2a585b1854,Ob29cdb78-59fb-42b1-8526-33337cdeaee2,2020-09-01 01:15:26,LAN,LAN,,,,,,,,,,19318,18997,11.371,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,39235,77.95.192,,,false,,21950.225,,,{},FULL_TEST,,,,,,,,,
P8418a834-07e0-47ad-ab54-b0f68f97e25a,Oa70e2087-f7dc-49d8-b375-a61b79c6b80f,2020-09-01 01:15:30,LAN,LAN,,,,,,,,,,59348,31550,7.366,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,16160,62.197.243,,,false,,21364.827999999998,,,{},FULL_TEST,,,,,,,,,
Pe7ad88fd-b47b-4a86-8dd3-8e87b0bfce72,Odffb25bf-6c33-4fc5-9d33-26638993957d,2020-09-01 01:15:33,LAN,LAN,,,,,,,,,,921091,895350,1.181,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,8251,185.99.64,,,false,,33765.635,,,{},FULL_TEST,,,,,,,,,
P999a010f-8a82-4e64-9f78-ef4e1ebef114,Of212d897-2a4c-4291-b3c3-ee1a5ec739b2,2020-09-01 01:15:40,LAN,LAN,49.843386599999995,13.222750600000001,Browser,30.0,,,,,,30214,4915,20.001882,,CZ.NIC,5,3,,Firefox,0.8.0,,,,,16019,46.135.36,,,false,,19604.403000000002,,,{},FULL_TEST,,,,,,,,,
P6d90dff9-4e72-4cb5-9576-787fde453b73,Odc9da857-28b2-40ce-8a8b-8740ef3d9c04,2020-09-01 01:15:51,LAN,LAN,,,,,,,,,,147213,9895,,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,16019,2a02:8308:13e::,,,false,,18733.762,,,{},FULL_TEST,,,,,,,,,
P4a6d3d16-4633-4f74-8e06-cea1d05d5993,O60708090-bea8-4d45-8363-c0ab7aa93aaf,2020-09-01 01:15:52,LAN,LAN,,,,,,,,,,54488,54406,,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,44489,2a02:768:5d00::,,,false,,17753.961,,,{},FULL_TEST,,,,,,,,,
P042f32c8-cf1a-4f36-9d83-45db8d9bd598,O63997f0d-14cf-4f04-8241-8d6f11f0eb95,2020-09-01 01:15:56,LAN,LAN,,,,,,,,,,119154,28944,8.488999,,CZ.NIC,5,3,,Turris,0.3,,,,,30764,193.165.236,,,false,,23704.072,,,{},FULL_TEST,,,,,,,,,
P149bd4d0-168f-4371-88b0-2cd1bb2efa54,Obde0e297-91fa-4552-b5f6-30b315e2c600,2020-09-01 01:16:00,LAN,LAN,,,,,,,,,,63396,14371,10.357,,CZ.NIC,5,3,,Turris,0.3,,,,,25512,85.13.100,,,false,,26217.773999999998,,,{},FULL_TEST,,,,,,,,,
P0a4c5f8d-be3a-4c5d-8a17-0dd9957f8266,O99a96beb-0d22-4440-8f15-7602f67a3d35,2020-09-01 01:16:00,LAN,LAN,,,,,,,,,,15010,4009,6.87,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,198668,37.221.248,,,false,,21235.980000000003,,,{},FULL_TEST,,,,,,,,,
P395dae5d-c9a7-4fab-8b50-6e7d1c601549,O32a10dc5-8cb1-42da-85b0-cd6da70db9a5,2020-09-01 01:16:00,LAN,LAN,,,,,,,,,,54359,32415,9.22,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,28972,213.226.245,,,false,,21711.572,,,{},FULL_TEST,,,,,,,,,
P008ae28d-e3dd-491e-a86c-1c236dde49ea,Oe95041c4-7954-4c75-bef1-6e1be2428f5f,2020-09-01 01:16:01,LAN,LAN,,,,,,,,,,109848,17429,20.2,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,12874,93.41.247,,,false,,23513.538,,,{},FULL_TEST,,,,,,,,,
Pef95c81e-325e-4fc4-85bf-02558c08a1cc,O39d525a8-1d7b-48c1-be16-1788c017b60d,2020-09-01 01:16:01,LAN,LAN,,,,,,,,,,295325,75796,,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,30764,2a00:ca8:a15::,,,false,,20440.342,,,{},FULL_TEST,,,,,,,,,
P40c01882-9975-40d9-8039-8fa31822b597,O06d7eec7-4329-4870-86c3-4ed55ef4acc4,2020-09-01 01:16:11,LAN,LAN,,,,,,,,,,311146,33214,14.028,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,15962,178.143.50,,,false,,25275.414999999997,,,{},FULL_TEST,,,,,,,,,
P89db2594-9ff4-4c95-aa59-a17bffd6cdcc,O80e5af22-de99-4dc7-9bb1-d9a317d2bacd,2020-09-01 01:16:12,LAN,LAN,,,,,,,,,,55769,7424,7.4,,CZ.NIC,5,3,,CZ.NIC Turris Mox Board,0.3,,,,,43708,91.221.2,,,false,,26667.889,,,{},FULL_TEST,,,,,,,,,
Pfef023d0-f947-42c3-afcb-d99a9b923455,O3abc6f6b-937e-491b-b89c-2e8e747c6035,2020-09-01 01:16:12,LAN,LAN,,,,,,,,,,43849,7642,2.67,,CZ.NIC,5,3,,CZ.NIC Turris Mox Board,0.3,,,,,39736,185.228.164,,,false,,24422.4,,,{},FULL_TEST,,,,,,,,,
P3d6d46b3-8f9d-4eed-b2d3-056c1b1dff8f,O1a598f65-b10e-40e5-9399-f2c53b824159,2020-09-01 01:16:14,LAN,LAN,,,,,,,,,,109696,109933,1.498,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,44489,178.255.168,,,false,,22651.295000000002,,,{},FULL_TEST,,,,,,,,,
P461bb12b-2d8b-4130-aba3-53021403564f,O36b0a06b-226e-45e0-b3e0-a82af0d11c7a,2020-09-01 01:16:17,LAN,LAN,,,,,,,,,,363928,43767,,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,5769,2607:fa48:6d5e::,,,false,,27266.081,,,{},FULL_TEST,,,,,,,,,
Pf2e3b5a1-5367-4396-bef2-09b740e9f9ba,Oad0eb95b-d75b-46f8-9774-8e0b6ed21278,2020-09-01 01:16:19,LAN,LAN,,,,,,,,,,195749,5987,43.208,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,16019,89.136.169,,,false,,25985.246,,,{},FULL_TEST,,,,,,,,,
P3cf672bd-3f93-46db-9141-e4925f789612,O0161d07d-ed7c-4a29-8ca6-94691c5a7418,2020-09-01 01:16:20,LAN,LAN,,,,,,,,,,82168,10062,6.461,,CZ.NIC,5,3,,Turris,0.3,,,,,16019,86.49.114,,,false,,22667.966,,,{},FULL_TEST,,,,,,,,,
Pbf30b010-27f2-4f46-ab2f-84ff01eae09d,O8f589866-4139-4e4f-bb26-a46aa380dc1a,2020-09-01 01:16:20,LAN,LAN,,,,,,,,,,295931,20062,9.19,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,16019,94.113.136,,,false,,26550.769,,,{},FULL_TEST,,,,,,,,,
P92e238f2-b8b3-4d1c-b9e7-0f7f951c7497,Oba61abf0-3b8a-4f33-979a-7d36c3235fa6,2020-09-01 01:16:32,LAN,LAN,,,,,,,,,,36164,5484,24.7,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,6855,78.99.9,,,false,,21971.67,,,{},FULL_TEST,,,,,,,,,
P104c762d-36b8-4a51-990e-828ab5b9e030,Of096aee1-20f5-45ce-b54e-41a80fe1e7ef,2020-09-01 01:16:32,LAN,LAN,,,,,,,,,,30102,2998,8.9,,CZ.NIC,5,3,,CZ.NIC Turris Mox Board,0.3,,,,,43451,81.92.254,,,false,,24113.959000000003,,,{},FULL_TEST,,,,,,,,,
P1e5c9e6d-d737-4ae1-a6d8-bebff662eda5,O5b5dc6ef-756c-4ae6-91b4-d2bc584d099b,2020-09-01 01:16:35,LAN,LAN,,,,,,,,,,249822,113504,16.1,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,15962,178.143.178,,,false,,25445.165,,,{},FULL_TEST,,,,,,,,,
P5b233efd-add3-42da-972d-1a203cdfb540,O91b768b7-ef02-4158-ad7a-0fe05a95c6c7,2020-09-01 01:16:37,LAN,LAN,,,,,,,,,,99742,10236,11.9,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,16019,80.108.167,,,false,,24659.175000000003,,,{},FULL_TEST,,,,,,,,,
P2aae17b5-5c66-4f73-b276-5ba812e5c46f,O42577f13-4eca-4b04-8002-89f6d224a302,2020-09-01 01:16:39,LAN,LAN,,,,,,,,,,149722,10040,9.93,,CZ.NIC,5,3,,Turris,0.3,,,,,16019,94.112.73,,,false,,27456.593999999997,,,{},FULL_TEST,,,,,,,,,
P026b80a1-e376-46c8-af29-4c551db48703,O410ecae4-aae9-4b5c-9b32-114725cfc900,2020-09-01 01:16:47,LAN,LAN,,,,,,,,,,50885,7510,,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,7922,2001:558:6045::,,,false,,26983.394,,,{},FULL_TEST,,,,,,,,,
Pe8505867-a5c9-4023-abbd-c2c6568c3b5a,O85c46df7-e2a2-44d2-b334-2bd68e1ac1ce,2020-09-01 01:16:55,LAN,LAN,,,,,,,,,,71165,90811,32.027,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,24904,178.250.212,,,false,,23053.699,,,{},FULL_TEST,,,,,,,,,
P09231cfe-99a1-464e-bf74-c8593afe9ac8,O55944d33-f8e9-419f-a5ae-74b544b4056a,2020-09-01 01:16:59,LAN,LAN,,,,,,,,,,50374,4680,10.637,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,13036,2001:1ae9:14c::,,,false,,22103.264,,,{},FULL_TEST,,,,,,,,,
Pa1bb89c1-0f4b-46de-ade4-bf130c57a5ab,O5b736ece-78d2-4d70-b16f-09c793c0eebb,2020-09-01 01:17:08,LAN,LAN,,,,,,,,,,51917,5127,16.073,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,31117,87.244.254,,,false,,21945.432,,,{},FULL_TEST,,,,,,,,,
